,stock_number,stock_id,stock_name,stock_pinyin,stock_abbr
0,600000,sh600000,浦发银行,pufayinhang,pfyh
1,600004,sh600004,白云机场,baiyunjichang,byjc
2,600006,sh600006,东风汽车,dongfengqiche,dfqc
3,600007,sh600007,中国国贸,zhongguoguomao,zggm
4,600008,sh600008,首创环保,shouchuanghuanbao,schb
5,600009,sh600009,上海机场,shanghaijichang,shjc
6,600010,sh600010,包钢股份,baoganggufen,bggf
7,600011,sh600011,华能国际,huanengguoji,hngj
8,600012,sh600012,皖通高速,wantonggaosu,wtgs
9,600015,sh600015,华夏银行,huaxiayinhang,hxyh
10,600016,sh600016,民生银行,minshengyinhang,msyh
11,600017,sh600017,日照港,rizhaogang,rzg
12,600018,sh600018,上港集团,shanggangjituan,sgjt
13,600019,sh600019,宝钢股份,baoganggufen,bggf
14,600020,sh600020,中原高速,zhongyuangaosu,zygs
15,600021,sh600021,上海电力,shanghaidianli,shdl
16,600022,sh600022,山东钢铁,shandonggangtie,sdgt
17,600023,sh600023,浙能电力,zhenengdianli,zndl
18,600025,sh600025,华能水电,huanengshuidian,hnsd
19,600026,sh600026,中远海能,zhongyuanhaineng,zyhn
20,600027,sh600027,华电国际,huadianguoji,hdgj
21,600028,sh600028,中国石化,zhongguoshihua,zgsh
22,600029,sh600029,南方航空,nanfanghangkong,nfhk
23,600030,sh600030,中信证券,zhongxinzhengquan,zxzq
24,600031,sh600031,三一重工,sanyizhonggong,syzg
25,600033,sh600033,福建高速,fujiangaosu,fjgs
26,600035,sh600035,楚天高速,chutiangaosu,ctgs
27,600036,sh600036,招商银行,zhaoshangyinhang,zsyh
28,600037,sh600037,歌华有线,gehuayouxian,ghyx
29,600038,sh600038,中直股份,zhongzhigufen,zzgf
30,600039,sh600039,四川路桥,sichuanluqiao,sclq
31,600048,sh600048,保利发展,baolifazhan,blfz
32,600050,sh600050,中国联通,zhongguoliantong,zglt
33,600052,sh600052,浙江广厦,zhejiangguangsha,zjgs
34,600053,sh600053,九鼎投资,jiudingtouzi,jdtz
35,600054,sh600054,黄山旅游,huangshanlvyou,hsly
36,600055,sh600055,万东医疗,wandongyiliao,wdyl
37,600056,sh600056,中国医药,zhongguoyiyao,zgyy
38,600057,sh600057,厦门象屿,xiamenxiangyu,xmxy
39,600058,sh600058,五矿发展,wukuangfazhan,wkfz
40,600059,sh600059,古越龙山,guyuelongshan,gyls
41,600060,sh600060,海信视像,haixinshixiang,hxsx
42,600061,sh600061,国投资本,guotouziben,gtzb
43,600062,sh600062,华润双鹤,huarunshuanghe,hrsh
44,600063,sh600063,皖维高新,wanweigaoxin,wwgx
45,600064,sh600064,南京高科,nanjinggaoke,njgk
46,600066,sh600066,宇通客车,yutongkeche,ytkc
47,600067,sh600067,冠城大通,guanchengdatong,gcdt
48,600068,sh600068,葛洲坝,gezhouba,gzb
49,600070,sh600070,浙江富润,zhejiangfurun,zjfr
50,600071,sh600071,凤凰光学,fenghuangguangxue,fhgx
51,600072,sh600072,中船科技,zhongchuankeji,zckj
52,600073,sh600073,上海梅林,shanghaimeilin,shml
53,600074,sh600074,退市保千,tuishibaoqian,tsbq
54,600075,sh600075,新疆天业,xinjiangtianye,xjty
55,600077,sh600077,宋都股份,songdougufen,sdgf
57,600079,sh600079,人福医药,renfuyiyao,rfyy
58,600080,sh600080,金花股份,jinhuagufen,jhgf
59,600081,sh600081,东风科技,dongfengkeji,dfkj
60,600082,sh600082,海泰发展,haitaifazhan,htfz
62,600085,sh600085,同仁堂,tongrentang,trt
63,600088,sh600088,中视传媒,zhongshichuanmei,zscm
64,600089,sh600089,特变电工,tebiandiangong,tbdg
68,600094,sh600094,大名城,damingcheng,dmc
69,600095,sh600095,湘财股份,xiangcaigufen,xcgf
70,600096,sh600096,云天化,yuntianhua,yth
71,600097,sh600097,开创国际,kaichuangguoji,kcgj
72,600098,sh600098,广州发展,guangzhoufazhan,gzfz
73,600099,sh600099,林海股份,linhaigufen,lhgf
74,600100,sh600100,同方股份,tongfanggufen,tfgf
75,600101,sh600101,明星电力,mingxingdianli,mxdl
76,600103,sh600103,青山纸业,qingshanzhiye,qszy
77,600104,sh600104,上汽集团,shangqijituan,sqjt
78,600105,sh600105,永鼎股份,yongdinggufen,ydgf
79,600106,sh600106,重庆路桥,chongqingluqiao,cqlq
80,600107,sh600107,美尔雅,meierya,mey
81,600108,sh600108,亚盛集团,yashengjituan,ysjt
82,600109,sh600109,国金证券,guojinzhengquan,gjzq
83,600110,sh600110,诺德股份,nuodegufen,ndgf
84,600111,sh600111,北方稀土,beifangxitu,bfxt
86,600113,sh600113,浙江东日,zhejiangdongri,zjdr
87,600114,sh600114,东睦股份,dongmugufen,dmgf
88,600115,sh600115,中国东航,zhongguodonghang,zgdh
89,600116,sh600116,三峡水利,sanxiashuili,sxsl
90,600118,sh600118,中国卫星,zhongguoweixing,zgwx
91,600119,sh600119,长江投资,changjiangtouzi,cjtz
92,600120,sh600120,浙江东方,zhejiangdongfang,zjdf
93,600121,sh600121,郑州煤电,zhengzhoumeidian,zzmd
95,600123,sh600123,兰花科创,lanhuakechuang,lhkc
96,600125,sh600125,铁龙物流,tielongwuliu,tlwl
97,600126,sh600126,杭钢股份,hangganggufen,hggf
98,600127,sh600127,金健米业,jinjianmiye,jjmy
99,600128,sh600128,弘业股份,hongyegufen,hygf
100,600129,sh600129,太极集团,taijijituan,tjjt
101,600130,sh600130,波导股份,bodaogufen,bdgf
102,600131,sh600131,国网信通,guowangxintong,gwxt
103,600132,sh600132,重庆啤酒,chongqingpijiu,cqpj
104,600133,sh600133,东湖高新,donghugaoxin,dhgx
105,600135,sh600135,乐凯胶片,lekaijiaopian,lkjp
106,600136,sh600136,当代文体,dangdaiwenti,ddwt
107,600137,sh600137,浪莎股份,langshagufen,lsgf
108,600138,sh600138,中青旅,zhongqinglv,zql
110,600141,sh600141,兴发集团,xingfajituan,xfjt
111,600143,sh600143,金发科技,jinfakeji,jfkj
113,600149,sh600149,廊坊发展,langfangfazhan,lffz
114,600151,sh600151,航天机电,hangtianjidian,htjd
115,600152,sh600152,维科技术,weikejishu,wkjs
116,600153,sh600153,建发股份,jianfagufen,jfgf
117,600155,sh600155,华创阳安,huachuangyangan,hcya
118,600156,sh600156,华升股份,huashenggufen,hsgf
119,600158,sh600158,中体产业,zhongtichanye,ztcy
120,600159,sh600159,大龙地产,dalongdichan,dldc
121,600160,sh600160,巨化股份,juhuagufen,jhgf
122,600161,sh600161,天坛生物,tiantanshengwu,ttsw
123,600162,sh600162,香江控股,xiangjiangkonggu,xjkg
124,600163,sh600163,中闽能源,zhongminnengyuan,zmny
125,600166,sh600166,福田汽车,futianqiche,ftqc
126,600167,sh600167,联美控股,lianmeikonggu,lmkg
127,600168,sh600168,武汉控股,wuhankonggu,whkg
128,600169,sh600169,太原重工,taiyuanzhonggong,tyzg
129,600170,sh600170,上海建工,shanghaijiangong,shjg
130,600171,sh600171,上海贝岭,shanghaibeiling,shbl
131,600172,sh600172,黄河旋风,huanghexuanfeng,hhxf
132,600173,sh600173,卧龙地产,wolongdichan,wldc
133,600175,sh600175,退市美都,tuishimeidou,tsmd
134,600176,sh600176,中国巨石,zhongguojushi,zgjs
135,600177,sh600177,雅戈尔,yageer,yge
136,600178,sh600178,东安动力,dongandongli,dadl
137,600180,sh600180,瑞茂通,ruimaotong,rmt
139,600183,sh600183,生益科技,shengyikeji,sykj
